crop;yield;region;categorie
Salix;4.61;Europe;SRC
Salix;7.19;Europe;SRC
Salix;8.46;Europe;SRC
Salix;10.13;Europe;SRC
Salix;14.84;Europe;SRC
Salix;14.02;Europe;SRC
Salix;15.23;Europe;SRC
Salix;8.1;Europe;SRC
Salix;7.1;Europe;SRC
Salix;8;Europe;SRC
Salix;7.1;Europe;SRC
Salix;12.9;Europe;SRC
Salix;16.59;Europe;SRC
Salix;13.47;Europe;SRC
Salix;13.57;Europe;SRC
Salix;17.84;Europe;SRC
Salix;12.74;Europe;SRC
S.cereale;7.37;Europe;annual
S.cereale;12.72;Europe;annual
S.cereale;14.56;Europe;annual
S.cereale;10.86;Europe;annual
S.cereale;16.04;Europe;annual
S.cereale;17.08;Europe;annual
S.cereale;9.69;Europe;annual
S.cereale;11.7;Europe;annual
S.cereale;12.74;Europe;annual
S.cereale;7.04;Europe;annual
S.cereale;11.12;Europe;annual
S.cereale;13.2;Europe;annual
S.cereale;6.48;Europe;annual
S.cereale;10.8;Europe;annual
S.cereale;13.06;Europe;annual
S.cereale;5.96;Europe;annual
S.cereale;12.84;Europe;annual
S.cereale;14.3;Europe;annual
S.cereale;9.62;Europe;annual
S.cereale;11.76;Europe;annual
S.cereale;13.23;Europe;annual
S.cereale;15.26;Europe;annual
S.cereale;8.7;Europe;annual
S.cereale;8.1;Europe;annual
S.cereale;7.9;Europe;annual
S.cereale;6.7;Europe;annual
S.montanum;6.36;Europe;annual
S.montanum;8.66;Europe;annual
S.montanum;10.41;Europe;annual
S.montanum;12;Europe;annual
S.montanum;8.5;Europe;annual
S.montanum;8;Europe;annual
S.montanum;7.4;Europe;annual
S.montanum;6.1;Europe;annual
S.hermaphrodita;2.51;Europe;perennial
S.hermaphrodita;14.47;Europe;perennial
S.hermaphrodita;15.52;Europe;perennial
S.hermaphrodita;19.66;Europe;perennial
S.hermaphrodita;15.31;Europe;perennial
S.hermaphrodita;20.75;Europe;perennial
S.hermaphrodita;22.63;Europe;perennial
S.bicolor;26.6;Asia;annual
S.bicolor;23.9;Asia;annual
S.bicolor;18.815;Asia;annual
S.bicolor;15.477;Asia;annual
S.bicolor;3.976;Asia;annual
S.bicolor;17.76;Americas;annual
S.bicolor;16.2;Americas;annual
S.bicolor;16.87;Americas;annual
S.bicolor;12.57;Americas;annual
S.bicolor;18.43;Americas;annual
S.bicolor;17.98;Americas;annual
S.bicolor;19.51;Americas;annual
S.bicolor;16.65;Americas;annual
S.bicolor;16.87;Americas;annual
S.bicolor;17.98;Americas;annual
S.bicolor;22.82;Americas;annual
S.bicolor;16.87;Americas;annual
S.bicolor;18.2;Americas;annual
S.bicolor;18.43;Americas;annual
S.bicolor;19.19;Americas;annual
S.bicolor;17.19;Americas;annual
S.bicolor;20.62;Americas;annual
S.bicolor;19.19;Americas;annual
S.bicolor;14;Europe;annual
S.bicolor;11.1;Europe;annual
S.bicolor;12.3;Europe;annual
S.bicolor;12;Europe;annual
S.bicolor;14.5;Europe;annual
S.bicolor;12.6;Europe;annual
S.bicolor;12.4;Europe;annual
S.bicolor;13.5;Europe;annual
S.halepense;8.9;Asia;perennial
S.halepense;5.3;Asia;perennial
S.cynosuroides;13.4;Europe;perennial
S.cynosuroides;18.9;Europe;perennial
S.cynosuroides;15.6;Europe;perennial
T.pratense;7.98;Europe;pluri-annual
T.pratense;8.49;Europe;pluri-annual
T.pratense;7.6;Europe;pluri-annual
T.pratense;5.89;Europe;pluri-annual
T.pratense;7.82;Europe;pluri-annual
T.pratense;8.52;Europe;pluri-annual
T.pratense;4.01;Europe;pluri-annual
T.pratense;3.12;Europe;pluri-annual
T.pratense;5.26;Europe;pluri-annual
